Age,Gender,Education Level,Years of Experience,Job Role,Industry,Current Job Title,Income Level,Location,AI Upskilling,AI Upskilling Type,Success in Hiring Process,Percentage Hike in Salary
35,Male,Ph.D.,3,Engineer,Finance,Financial Analyst,High,City_A,1,Certifications,1,8.385833620444439
24,Female,High School,26,Engineer,Education,Nurse,Low,City_B,1,Workshops,0,8.020548308963514
22,Female,Master's,24,Manager,Finance,Financial Analyst,Medium,City_B,1,Online Courses,1,5.620510661753629
26,Male,Ph.D.,22,Consultant,Education,Financial Analyst,Medium,City_A,1,Certifications,1,3.2479211157338375
47,Female,Master's,10,Engineer,Education,Financial Analyst,Low,City_B,1,Online Courses,1,5.185797966230906
35,Female,Ph.D.,9,Engineer,Healthcare,Financial Analyst,Medium,City_A,1,Workshops,1,6.0733199747637245
48,Female,Bachelor's,26,Consultant,Healthcare,Financial Analyst,Medium,City_B,1,Certifications,0,9.998842944467205
30,Female,Ph.D.,20,Analyst,IT,Financial Analyst,Low,City_C,1,Online Courses,1,13.993193732979565
36,Male,Bachelor's,8,Consultant,Finance,Financial Analyst,Medium,City_A,1,Online Courses,1,7.248384370563521
36,Female,Ph.D.,10,Analyst,IT,Financial Analyst,High,City_A,1,Online Courses,1,22.366481460062765
47,Male,High School,19,Engineer,Finance,Teacher,Medium,City_A,1,Workshops,0,19.012468291402506
34,Male,Master's,3,Engineer,Healthcare,Financial Analyst,Low,City_A,1,Certifications,0,8.316576852824854
53,Female,High School,24,Engineer,Healthcare,Teacher,High,City_A,1,Certifications,0,29.15312948777395
53,Male,Ph.D.,5,Manager,Finance,Teacher,High,City_A,1,Certifications,0,9.952211169680726
25,Female,Ph.D.,3,Manager,Finance,Software Developer,Medium,City_C,1,Online Courses,1,5.114085168412397
51,Female,Ph.D.,26,Manager,Healthcare,Software Developer,High,City_C,1,Certifications,1,13.257165832756554
58,Male,Bachelor's,27,Consultant,Healthcare,Teacher,Low,City_B,1,Online Courses,1,24.686468164370496
44,Male,Master's,16,Engineer,IT,Teacher,High,City_A,1,Workshops,0,1.4197730583322996
36,Male,Master's,17,Engineer,Healthcare,Financial Analyst,Medium,City_B,1,Certifications,0,18.50136347232015
50,Male,Ph.D.,15,Consultant,Finance,Software Developer,Medium,City_B,1,Online Courses,1,28.495718194280272
57,Female,Ph.D.,3,Manager,IT,Nurse,High,City_C,1,Certifications,1,13.339557644580209
34,Female,Bachelor's,12,Consultant,Finance,Software Developer,Low,City_B,1,Certifications,1,5.448123337668515
53,Female,High School,9,Manager,Education,Teacher,Low,City_C,1,Workshops,0,1.2578133817923094
28,Male,High School,21,Engineer,IT,Teacher,Medium,City_B,1,Certifications,1,6.551648661483299
43,Male,Master's,12,Analyst,Finance,Financial Analyst,Medium,City_A,1,Workshops,1,22.435187721907944
49,Male,Bachelor's,26,Manager,Healthcare,Financial Analyst,Low,City_B,1,Certifications,0,9.296510589703963
23,Female,Ph.D.,15,Engineer,Education,Software Developer,High,City_C,1,Certifications,0,5.496060800262119
27,Male,Master's,2,Engineer,Finance,Financial Analyst,High,City_C,1,Certifications,1,10.802955400574808
49,Female,Bachelor's,23,Analyst,IT,Nurse,High,City_C,1,Certifications,0,2.969816430965922
49,Male,High School,18,Engineer,Finance,Nurse,High,City_B,1,Certifications,1,7.848762080784879
41,Female,Bachelor's,20,Engineer,Education,Financial Analyst,Low,City_B,1,Certifications,1,7.488597794353051
51,Female,High School,12,Manager,IT,Nurse,Medium,City_C,1,Workshops,1,15.179643548639334
32,Male,Bachelor's,23,Manager,Education,Nurse,Medium,City_A,1,Workshops,1,27.511527333354287
49,Male,Master's,4,Analyst,Finance,Software Developer,High,City_A,1,Online Courses,0,35.21662060038901
46,Female,High School,23,Analyst,Healthcare,Nurse,Low,City_B,1,Certifications,0,24.585039462568293
54,Female,Master's,16,Engineer,Healthcare,Teacher,Low,City_B,1,Workshops,0,1.8564751007219353
22,Male,Master's,23,Manager,Finance,Teacher,High,City_C,1,Certifications,1,17.303267113560572
48,Male,High School,16,Analyst,Finance,Software Developer,High,City_B,1,Certifications,1,9.479319427595758
34,Female,High School,1,Analyst,Finance,Financial Analyst,High,City_B,1,Workshops,1,13.728337104203694
24,Male,Ph.D.,22,Consultant,IT,Software Developer,Medium,City_C,1,Certifications,0,12.403830828910774
27,Female,Ph.D.,25,Analyst,Education,Financial Analyst,High,City_C,1,Workshops,0,1.5115515497183765
29,Female,Ph.D.,2,Engineer,Education,Financial Analyst,Medium,City_B,1,Workshops,1,28.78863254199593
48,Male,Master's,3,Manager,Education,Financial Analyst,Low,City_A,1,Online Courses,0,6.229146126234426
30,Male,Master's,26,Analyst,Finance,Financial Analyst,Low,City_B,1,Online Courses,0,16.98037425084886
58,Male,Ph.D.,21,Consultant,Education,Financial Analyst,Medium,City_A,1,Online Courses,0,31.427031314138908
54,Male,Master's,25,Manager,Finance,Software Developer,Medium,City_A,1,Online Courses,0,2.1668536044201576
45,Male,Master's,20,Analyst,IT,Financial Analyst,Medium,City_A,1,Certifications,1,9.06399056512822
36,Female,High School,17,Consultant,Healthcare,Nurse,Medium,City_C,1,Certifications,0,29.444427419340112
53,Female,High School,20,Analyst,Finance,Nurse,High,City_C,1,Online Courses,1,29.564473371627493
53,Male,Master's,22,Manager,Finance,Financial Analyst,Low,City_C,1,Workshops,0,9.115022310690641
45,Male,Ph.D.,21,Manager,Healthcare,Nurse,High,City_B,1,Workshops,1,4.8636542607491196
33,Male,Bachelor's,29,Manager,Healthcare,Teacher,Medium,City_C,1,Workshops,1,8.328045952657638
23,Female,Ph.D.,1,Engineer,IT,Software Developer,High,City_C,1,Workshops,0,27.79202790248789
24,Male,Bachelor's,20,Analyst,Education,Software Developer,High,City_B,1,Certifications,1,8.65837744689917
58,Male,Ph.D.,6,Engineer,Finance,Financial Analyst,Low,City_B,1,Workshops,1,22.157592877471096
38,Female,High School,29,Manager,Education,Financial Analyst,High,City_A,1,Workshops,0,25.323527989398226
23,Female,Master's,15,Consultant,Finance,Teacher,Low,City_B,1,Online Courses,1,6.846968471225749
23,Male,Master's,26,Analyst,IT,Financial Analyst,Medium,City_B,1,Workshops,0,23.236431959782138
49,Male,High School,26,Engineer,Healthcare,Nurse,High,City_C,1,Certifications,1,26.54553909743878
44,Male,Bachelor's,14,Analyst,IT,Teacher,Medium,City_A,1,Workshops,0,23.70813246080642
58,Female,Bachelor's,20,Consultant,Healthcare,Nurse,Low,City_A,1,Workshops,0,20.680046114949988
53,Male,Bachelor's,15,Engineer,Education,Software Developer,Medium,City_B,1,Certifications,0,2.9069788550496174
54,Male,High School,14,Manager,Education,Nurse,Medium,City_C,1,Online Courses,0,5.827348213517132
22,Male,Bachelor's,25,Engineer,IT,Software Developer,Low,City_C,1,Certifications,0,19.46875735676549
40,Female,High School,21,Analyst,Healthcare,Nurse,Medium,City_C,1,Online Courses,1,5.513473859824574
23,Female,Ph.D.,24,Analyst,IT,Software Developer,Medium,City_C,1,Workshops,1,3.229181906019412
47,Male,Ph.D.,25,Analyst,Healthcare,Financial Analyst,Medium,City_B,1,Online Courses,0,7.166450805527676
53,Male,High School,26,Analyst,Healthcare,Nurse,High,City_C,1,Online Courses,1,28.746791262494
27,Female,Master's,5,Manager,Education,Software Developer,Medium,City_A,1,Online Courses,1,4.22171043003699
53,Female,Ph.D.,6,Engineer,Education,Nurse,Low,City_A,1,Workshops,1,8.930530796267568
25,Female,Bachelor's,17,Manager,Healthcare,Teacher,High,City_B,1,Online Courses,0,14.88478936176352
32,Female,High School,11,Manager,Healthcare,Financial Analyst,High,City_C,1,Online Courses,0,28.071659706032833
38,Female,Bachelor's,16,Manager,Healthcare,Software Developer,Low,City_C,1,Workshops,1,11.989988285132313
59,Female,Bachelor's,12,Analyst,Education,Teacher,Medium,City_C,1,Certifications,0,1.0055047164002833
45,Female,Master's,15,Analyst,Education,Nurse,High,City_C,1,Certifications,0,25.821714430560597
26,Female,Bachelor's,23,Analyst,Finance,Teacher,High,City_B,1,Certifications,1,8.401819461218277
55,Female,Master's,4,Engineer,Healthcare,Nurse,High,City_C,1,Workshops,0,29.082761587676185
27,Male,Ph.D.,27,Consultant,Finance,Financial Analyst,Medium,City_B,1,Workshops,0,4.366946214606759
43,Male,High School,18,Analyst,Healthcare,Teacher,High,City_C,1,Certifications,0,15.892365993698068
32,Male,Bachelor's,21,Engineer,Education,Financial Analyst,Low,City_C,1,Online Courses,0,6.868997714968554
37,Female,High School,28,Analyst,Finance,Software Developer,Medium,City_A,1,Certifications,0,8.74315301327701
54,Male,Bachelor's,3,Analyst,Finance,Nurse,Low,City_B,1,Workshops,1,15.626209409414852
30,Female,High School,22,Manager,IT,Nurse,Low,City_A,1,Online Courses,0,33.35512050397071
27,Female,Bachelor's,8,Manager,Healthcare,Financial Analyst,High,City_B,1,Online Courses,0,29.34242356509495
37,Male,Bachelor's,23,Manager,Education,Financial Analyst,High,City_C,1,Workshops,1,4.506357235947654
50,Female,Bachelor's,3,Engineer,IT,Software Developer,High,City_C,1,Online Courses,1,1.1359670102893396
24,Male,Bachelor's,8,Consultant,IT,Teacher,Low,City_B,1,Certifications,0,20.966639970595914
41,Male,Bachelor's,18,Consultant,Healthcare,Nurse,Medium,City_A,1,Workshops,1,11.858233226594066
57,Male,Bachelor's,10,Engineer,IT,Nurse,High,City_B,1,Workshops,0,17.54995418275045
40,Female,Bachelor's,25,Analyst,Healthcare,Software Developer,High,City_B,1,Workshops,1,1.5391423090302738
47,Male,Bachelor's,20,Engineer,IT,Software Developer,Low,City_C,1,Workshops,0,3.0471229942562856
24,Female,Bachelor's,17,Analyst,Healthcare,Financial Analyst,Medium,City_A,1,Online Courses,1,3.3344199569906254
40,Male,High School,8,Engineer,Education,Financial Analyst,Low,City_B,1,Workshops,0,24.069702209931332
41,Male,Master's,23,Engineer,Healthcare,Teacher,High,City_A,1,Workshops,1,12.735100472267751
53,Male,Bachelor's,11,Engineer,Healthcare,Software Developer,Low,City_A,1,Online Courses,0,4.479020863583434
28,Female,Master's,29,Consultant,Finance,Teacher,High,City_B,1,Workshops,0,23.570840595815177
54,Female,Bachelor's,5,Manager,Education,Software Developer,Medium,City_A,1,Online Courses,0,1.5849123430489158
39,Female,Bachelor's,26,Engineer,Education,Nurse,Low,City_C,1,Online Courses,1,18.98672118870868
22,Male,High School,13,Consultant,Education,Software Developer,High,City_C,1,Workshops,1,27.877795254443832
32,Male,Ph.D.,21,Manager,IT,Software Developer,High,City_C,1,Certifications,0,5.003226919329697
49,Female,Ph.D.,23,Manager,Finance,Nurse,High,City_C,1,Workshops,0,7.535630098000137
46,Female,High School,5,Engineer,Education,Software Developer,High,City_A,1,Certifications,0,7.140584095873278
44,Female,Master's,24,Analyst,IT,Teacher,Low,City_C,1,Online Courses,0,28.656240299405134
52,Female,Ph.D.,27,Analyst,IT,Financial Analyst,High,City_B,1,Certifications,1,24.30329469076875
51,Female,High School,13,Analyst,IT,Financial Analyst,Low,City_C,1,Workshops,1,7.798078138907205
56,Female,High School,6,Engineer,Finance,Teacher,High,City_B,1,Workshops,1,7.491414641368755
28,Male,Ph.D.,29,Analyst,IT,Nurse,Low,City_B,1,Certifications,0,4.4022769018687935
37,Female,Master's,5,Consultant,Finance,Software Developer,Low,City_C,1,Workshops,0,12.317055540075291
47,Male,High School,9,Consultant,Healthcare,Teacher,High,City_C,1,Certifications,1,1.10888219528607
23,Male,Bachelor's,27,Consultant,IT,Financial Analyst,High,City_A,1,Online Courses,1,3.5934125451557035
22,Female,Master's,16,Consultant,Education,Financial Analyst,High,City_B,1,Certifications,1,1.0830004622850424
33,Female,Master's,2,Manager,IT,Teacher,High,City_C,1,Certifications,1,3.0706535899333307
26,Male,Ph.D.,1,Consultant,Healthcare,Financial Analyst,Medium,City_A,1,Certifications,0,24.151067118386393
58,Female,Ph.D.,8,Analyst,Healthcare,Teacher,High,City_C,1,Certifications,0,2.0927418878075876
53,Female,Bachelor's,28,Engineer,IT,Financial Analyst,High,City_C,1,Online Courses,0,1.9384998204839161
30,Male,High School,19,Analyst,Healthcare,Teacher,High,City_C,1,Online Courses,1,9.067936921468629
56,Male,Ph.D.,11,Consultant,Finance,Software Developer,Low,City_B,1,Online Courses,0,6.269230261206003
40,Male,Ph.D.,28,Manager,Finance,Software Developer,High,City_C,1,Certifications,1,9.410101180865032
37,Female,Master's,12,Consultant,IT,Software Developer,Low,City_A,1,Online Courses,1,4.112435474071113
24,Male,Ph.D.,12,Engineer,Finance,Software Developer,Low,City_C,1,Workshops,1,16.34177574548251
41,Female,Ph.D.,7,Analyst,Finance,Financial Analyst,Low,City_C,1,Online Courses,1,27.07526204003955
45,Male,Ph.D.,26,Engineer,Education,Nurse,Low,City_A,1,Certifications,1,26.052608432000675
54,Male,Ph.D.,13,Engineer,IT,Teacher,Medium,City_A,1,Workshops,0,23.228040662375662
45,Male,Master's,27,Engineer,Healthcare,Nurse,High,City_B,1,Certifications,0,16.497497341985774
32,Female,Bachelor's,8,Analyst,IT,Financial Analyst,Low,City_B,1,Workshops,0,20.3263312332234
29,Female,Bachelor's,29,Consultant,Finance,Financial Analyst,High,City_B,1,Certifications,1,18.89658515195918
57,Male,High School,29,Engineer,Education,Nurse,Low,City_B,1,Certifications,0,16.777637724973484
59,Male,Ph.D.,22,Analyst,IT,Nurse,Medium,City_A,1,Workshops,1,26.962725786063565
41,Male,Master's,28,Manager,IT,Financial Analyst,Low,City_C,1,Online Courses,0,19.670141491553306
56,Female,High School,26,Analyst,Finance,Financial Analyst,High,City_C,1,Workshops,1,4.605895015957286
46,Male,High School,9,Manager,Finance,Teacher,High,City_C,1,Workshops,1,7.354368855623514
56,Female,Bachelor's,7,Analyst,IT,Software Developer,Medium,City_B,1,Workshops,0,12.820495772006716
46,Male,Master's,26,Consultant,Finance,Software Developer,High,City_A,1,Workshops,1,9.32819416389206
50,Male,Master's,21,Engineer,Finance,Teacher,High,City_A,1,Workshops,0,1.2289681101919543
39,Male,Master's,24,Consultant,Finance,Nurse,Low,City_A,1,Certifications,0,20.195393469980978
39,Male,Bachelor's,15,Analyst,Finance,Financial Analyst,High,City_C,1,Certifications,0,3.972949204298989
23,Male,Bachelor's,2,Engineer,Finance,Nurse,Low,City_B,1,Online Courses,1,2.6221028663661508
56,Male,Bachelor's,23,Manager,Education,Software Developer,Medium,City_A,1,Online Courses,1,5.59356060268089
37,Female,Bachelor's,20,Analyst,Finance,Software Developer,High,City_B,1,Workshops,1,11.695612474595087
57,Male,Bachelor's,25,Engineer,Healthcare,Nurse,Low,City_A,1,Online Courses,1,2.2330992581958555
54,Female,Ph.D.,12,Manager,IT,Software Developer,High,City_B,1,Online Courses,0,21.415375931718028
25,Male,Ph.D.,1,Manager,Education,Financial Analyst,Low,City_A,1,Workshops,1,4.6734819841139945
54,Male,Master's,23,Consultant,Education,Teacher,Medium,City_B,1,Certifications,0,4.679302711530838
35,Female,High School,22,Analyst,Finance,Nurse,Low,City_A,1,Certifications,0,3.8580232565771624
42,Male,Master's,8,Manager,IT,Financial Analyst,High,City_A,1,Online Courses,1,2.3369063635898284
41,Female,High School,5,Engineer,Healthcare,Financial Analyst,Low,City_B,1,Certifications,1,11.826552887306647
29,Female,Bachelor's,15,Manager,Finance,Software Developer,High,City_B,1,Certifications,0,9.732115561852185
28,Male,High School,1,Manager,IT,Financial Analyst,Medium,City_C,1,Online Courses,1,9.491493067335343
24,Female,Master's,1,Consultant,Finance,Nurse,Low,City_B,1,Workshops,0,20.265871649189968
38,Female,Master's,25,Consultant,Finance,Financial Analyst,High,City_A,1,Online Courses,1,9.955465779475052
54,Male,High School,10,Engineer,Finance,Teacher,High,City_A,1,Online Courses,1,22.800784625287044
33,Female,Ph.D.,22,Consultant,Finance,Financial Analyst,High,City_B,1,Online Courses,0,28.658900706482882
43,Male,Bachelor's,10,Manager,Finance,Financial Analyst,Low,City_C,1,Workshops,0,2.0594637917436462
43,Male,Bachelor's,21,Manager,Finance,Teacher,Low,City_B,1,Workshops,0,11.548233484505861
51,Male,Master's,15,Consultant,Finance,Financial Analyst,Low,City_A,1,Workshops,1,6.670469819346656
59,Male,Ph.D.,17,Manager,Healthcare,Financial Analyst,Medium,City_A,1,Workshops,1,23.473248397868684
59,Female,High School,22,Manager,Education,Software Developer,High,City_C,1,Online Courses,1,27.894037220483675
29,Male,Bachelor's,6,Engineer,Healthcare,Nurse,High,City_B,1,Certifications,0,5.031478101541475
48,Male,Ph.D.,3,Consultant,Finance,Software Developer,Medium,City_A,1,Online Courses,0,22.000361800486445
48,Female,Bachelor's,13,Manager,Finance,Nurse,Medium,City_A,1,Workshops,1,2.694523140075898
55,Male,Ph.D.,16,Consultant,Healthcare,Teacher,Low,City_A,1,Certifications,0,1.5991475257219159
42,Male,Ph.D.,8,Engineer,Healthcare,Teacher,Low,City_B,1,Online Courses,1,2.698658611286566
51,Female,Master's,15,Consultant,Education,Teacher,Low,City_B,1,Certifications,0,4.694796338102892
54,Female,Bachelor's,17,Manager,Healthcare,Nurse,Low,City_C,1,Workshops,1,2.063771294634869
